hospital_name,last_updated_on,as_of_date,version,hospital_location,hospital_address,license_number|NJ,financial_aid_policy,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,
Hackensack Meridian Health,12/31/2024,9/30/2024,2.0.0,Carrier Clinic,"252 Route 601, Belle Mead, NJ 08502",51806|NJ,,TRUE,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_algorithm,standard_charge|negotiated_percentage,estimated_amount,standard_charge|min,standard_charge|max,count_of_compared_rates,standard_charge|methodology,additional_generic_notes,footnote
CARRIER PSYCH SEMI PRIVATE,1000000042,CDM,124,RC,,,Facility,Inpatient,,,3300,1320,AETNA,BETTER HEALTH,,898,,,,600,2866,25,Per Diem,,
CARRIER BLAKE SEMI-PRIVATE DETOX,1000000043,CDM,126,RC,,,Facility,Inpatient,,,2750,1100,AETNA,BETTER HEALTH,,898,,,,275,2607,25,Per Diem,,
CARRIER BLAKE SEMI-PRIVATE REHAB,1000000044,CDM,128,RC,,,Facility,Inpatient,,,2750,1100,AETNA,BETTER HEALTH,,898,,,,275,2607,25,Per Diem,,
CARRIER ADMISTRATIVE DAY RATE,1000000062,CDM,199,RC,,,Facility,Inpatient,,,3300,1320,AETNA,BETTER HEALTH,,449,,,,275,2607,25,Per Diem,,
CARRIER BLAKE SEMI-PRIVATE RESIDENTIAL,1000000045,CDM,1002,RC,,,Facility,Inpatient,,,2750,1100,AETNA,BETTER HEALTH,,,,,,201.6,1896,25,,,
CARRIER  ADOL REHAB SERVICE BHS,1000000046,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE PCH,1000000047,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE RTC,1000000048,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE IRT,1000000049,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE BHS,1000000050,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE PCH,1000000051,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE RTC,1000000052,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER REHAB HOSPITAL LEAVE BHS,1000000053,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
